website,url,,,,,
Evernote,evernote.com,,,,,
Notion,notion.so,,,,,
Peloton,onepeloton.com,,,,,
Asos,asos.com,,,,,
Mon Concept Habitation,monconcepthabitation.com,,,,,
Ableton,ableton.com,,,,,
The Atlantic,theatlantic.com,,,,,
Vogue,vogue.com,,,,,
Guggenheim,guggenheim.org,,,,,
DuckDuckGo,duckduckgo.com,,,,,
Buzzfeed,buzzfeed.com,,,,,
FitBit,fitbit.com,,,,,
John Lewis,johnlewis.com,,,,,
Normann,normann-copenhagen.com,,,,,
Moooi,moooi.com,,,,,
Rosendahl,rosendahl.com,,,,,
MADE,made.com,,,,,
Griffin Museum,msichicago.org,,,,,
Billboard,billboard.com,,,,,
ArtCenter,artcenter.edu,,,,,
Whitney,whitney.org,,,,,
Unbounce,unbounce.com,,,,,
Royal College of Art,rca.ac.uk,,,,,
Saatva,saatva.com,,,,,
Smithsonian,si.edu,,,,,
Gagosian,gagosian.com,,,,,
Adidas,adidas.com,,,,,
NYC Ballet,nycballet.com,,,,,
Nohrd,nohrd.com,,,,,
Behance,behance.net,,,,,
Instructables,instructables.com,,,,,
Amnesty,amnesty.org,,,,,
Booth School of Business,chicagobooth.edu,,,,,
Gibson,gibson.com,,,,,
The Body Shop,thebodyshop.com,,,,,
Pure Electric,pureelectric.com,,,,,
Conde Nast Traveller,cntraveller.com,,,,,
ArtReview,artreview.com,,,,,
Design Observer,designobserver.com,,,,,
Bella Union,bellaunion.com,,,,,
Evidation,evidation.com,,,,,
Sinebrychoff Art Museum,sinebrychoffintaidemuseo.fi,,,,,
National Museum Of American History,americanhistory.si.edu,,,,,
Lapham’s Quarterly,laphamsquarterly.org,,,,,
Kennedy Center,kennedy-center.org,,,,,
Cornell University Press,cornellpress.cornell.edu,,,,,
Huckberry,huckberry.com,,,,,
Ferm Living,fermliving.co.uk,,,,,
Human Rights Watch,hrw.org,,,,,
Wikipedia,wikipedia.org,,,,,
Politico,politico.com,,,,,
NYU Press,nyupress.org,,,,,
Mast,mastmarket.com,,,,,
Hims,hims.com,,,,,
Hers,hers.com,,,,,
ArtForum,artforum.com,,,,,
Rotten Tomatoes,rottentomatoes.com,,,,,
Hootsuite,hootsuite.com,,,,,
Musee d’Orsay,musee-orsay.fr,,,,,
Brooklyn Bicycle Co,brooklynbicycleco.com,,,,,
Muzli,muz.li,,,,,
Yelp,yelp.com,,,,,
eMed,emed.com,,,,,
Belvedere Museum,belvedere.at,,,,,
Design Milk,design-milk.com,,,,,
Berry Good,berrygoodbar.com.au,,,,,
Merge Records,mergerecords.com,,,,,
New Yorker,newyorker.com,,,,,
The American Scholar,theamericanscholar.org,,,,,
Bund DE,bund.de,,,,,
CARE,care-international.org,,,,,
Imperial College,imperial.ac.uk,,,,,
IBM,ibm.com,,,,,
Mother Jones,motherjones.com,,,,,
Vox,vox.com,,,,,
The Ringer,theringer.com,,,,,
Deadline,deadline.com,,,,,
Invision,invisionapp.com,,,,,
IndieWire,indiewire.com,,,,,
WeTransfer,wetransfer.com,,,,,
Moleskine,moleskine.com,,,,,
Pixar,pixar.com,,,,,